,Local authority code,Local authority name,LSOA code,LSOA name,1996-03-01 00:00:00,1996-06-01 00:00:00,1996-09-01 00:00:00,1996-12-01 00:00:00,1997-03-01 00:00:00,1997-06-01 00:00:00,1997-09-01 00:00:00,1997-12-01 00:00:00,1998-03-01 00:00:00,1998-06-01 00:00:00,1998-09-01 00:00:00,1998-12-01 00:00:00,1999-03-01 00:00:00,1999-06-01 00:00:00,1999-09-01 00:00:00,1999-12-01 00:00:00,2000-03-01 00:00:00,2000-06-01 00:00:00,2000-09-01 00:00:00,2000-12-01 00:00:00,2001-03-01 00:00:00,2001-06-01 00:00:00,2001-09-01 00:00:00,2001-12-01 00:00:00,2002-03-01 00:00:00,2002-06-01 00:00:00,2002-09-01 00:00:00,2002-12-01 00:00:00,2003-03-01 00:00:00,2003-06-01 00:00:00,2003-09-01 00:00:00,2003-12-01 00:00:00,2004-03-01 00:00:00,2004-06-01 00:00:00,2004-09-01 00:00:00,2004-12-01 00:00:00,2005-03-01 00:00:00,2005-06-01 00:00:00,2005-09-01 00:00:00,2005-12-01 00:00:00,2006-03-01 00:00:00,2006-06-01 00:00:00,2006-09-01 00:00:00,2006-12-01 00:00:00,2007-03-01 00:00:00,2007-06-01 00:00:00,2007-09-01 00:00:00,2007-12-01 00:00:00,2008-03-01 00:00:00,2008-06-01 00:00:00,2008-09-01 00:00:00,2008-12-01 00:00:00,2009-03-01 00:00:00,2009-06-01 00:00:00,2009-09-01 00:00:00,2009-12-01 00:00:00,2010-03-01 00:00:00,2010-06-01 00:00:00,2010-09-01 00:00:00,2010-12-01 00:00:00,2011-03-01 00:00:00,2011-06-01 00:00:00,2011-09-01 00:00:00,2011-12-01 00:00:00,2012-03-01 00:00:00,2012-06-01 00:00:00,2012-09-01 00:00:00,2012-12-01 00:00:00,2013-03-01 00:00:00,2013-06-01 00:00:00,2013-09-01 00:00:00,2013-12-01 00:00:00,2014-03-01 00:00:00,2014-06-01 00:00:00,2014-09-01 00:00:00,2014-12-01 00:00:00,2015-03-01 00:00:00,2015-06-01 00:00:00,2015-09-01 00:00:00,2015-12-01 00:00:00,2016-03-01 00:00:00,2016-06-01 00:00:00,2016-09-01 00:00:00,2016-12-01 00:00:00,2017-03-01 00:00:00,2017-06-01 00:00:00,2017-09-01 00:00:00,2017-12-01 00:00:00,2018-03-01 00:00:00,2018-06-01 00:00:00,2018-09-01 00:00:00,2018-12-01 00:00:00,2019-03-01 00:00:00,2019-06-01 00:00:00,2019-09-01 00:00:00,2019-12-01 00:00:00,2020-03-01 00:00:00,2020-06-01 00:00:00,2020-09-01 00:00:00,2020-12-01 00:00:00,2021-03-01 00:00:00,2021-06-01 00:00:00,2021-09-01 00:00:00,2021-12-01 00:00:00,2022-03-01 00:00:00,2022-06-01 00:00:00,2022-09-01 00:00:00,2022-12-01 00:00:00
0,E09000001,City of London,E01000001,City of London 001A,120178,125432,131210,144532,141188,143119,144825,152071,150195,156228,161747,169180,170232,174187,178372,186378,195705,207348,221739,234531,241455,245863,251181,259900,263987,270137,280347,292644,296750,299327,303318,307253,307281,310991,319849,324765,327186,329865,340341,340947,347797,356961,382940,393723,414714,434104,477888,473793,482018,484298,501974,497287,492726,482372,487415,483949,487749,487893,498885,493712,502905,504840,517165,506535,526356,540838,559618,555952,587652,624783,645151,654559,698015,755458,769887,782698,818678,879656,868371,875526,907736,970554,935340,935289,957028,994887,940614,922713,920568,917521,860431,843395,846131,852186,823842,825102,838729,839092,816667,826540,830037,824260,814919,842939,841618,833943,834227,875952
1,E09000001,City of London,E01000002,City of London 001B,127646,118994,127527,120301,126027,121535,132860,134630,143004,147057,159895,162352,164004,167416,179875,187831,192231,203381,222669,232806,231951,242036,255719,264716,264576,279575,288387,287476,277575,284385,289452,291717,295848,314970,333697,343353,343470,345155,351481,356491,360832,374032,396979,425468,441288,463845,480703,510399,520856,538846,526683,539479,527432,528918,504971,517558,509048,517230,498125,524976,525360,522174,506170,537401,537423,536491,542921,588189,591092,589883,604399,645273,636393,650861,686326,733739,739573,765558,794733,822429,815744,841778,841283,852149,840519,858638,852389,841825,833859,850258,849662,835546,834798,858763,875404,856858,845933,846773,849410,828780,812092,811403,821600,823994,811415,814116,826602,844621
2,E09000001,City of London,E01000003,City of London 001C,71244,79192,82583,77330,108576,116262,116536,108002,123611,124110,124649,116941,124781,126212,130226,128688,134263,138649,147392,147893,154501,162216,176552,176259,181964,192041,208273,209972,220222,231715,246377,239123,244061,242340,244814,229990,235790,236446,245799,242776,254053,256093,258519,267933,286516,304483,314392,338005,339573,344927,346949,355515,350839,350289,341609,338330,329062,325125,319775,330021,336658,342024,333211,345857,348034,347859,346483,369680,380278,387435,396679,425166,434822,453599,480131,508516,521002,558938,585156,619933,633635,675955,691675,714558,715174,749203,751965,731833,701854,704251,687664,655379,613283,601870,585777,571730,549313,554351,545543,540653,529746,544038,543649,540878,531108,544739,544526,540075
3,E09000001,City of London,E01000005,City of London 001E,57122,56518,56796,55899,56069,58293,57845,59691,63574,73080,73129,94451,110841,135131,152556,147239,142261,153059,141981,137185,139001,160487,155601,152972,164533,182608,171798,171343,187792,202261,186082,186902,201330,204146,181665,187823,206582,225047,222109,242000,241533,254276,247171,259158,244126,251392,247106,246647,233481,250034,232086,231724,222364,246684,225677,236992,229793,271054,250192,264585,261003,309508,285715,302581,294088,337460,330036,341704,325480,345935,340598,365170,354507,368116,385853,413956,420194,440488,468941,510000,506297,510874,525725,555651,540331,522371,529253,555656,538818,520846,527545,553805,536866,518703,525347,551592,534652,516518,523168,549413,532473,514332,520980,547226,530285,512146,518794,545040
4,E09000001,City of London,E01032739,City of London 001F,179444,174848,170415,162431,155013,155427,163673,171607,181685,194281,203989,207563,210134,207740,204804,199307,197141,198202,207912,216080,223688,227252,241004,243327,228600,226534,259804,280063,264357,268702,304511,312091,258009,255171,285156,293622,280346,287680,303299,297919,293199,294095,305429,312376,339901,357450,369827,369714,383934,377775,371653,356078,361440,353084,352806,349771,361496,369093,378454,391707,403334,413187,416542,439109,436410,431115,424305,501181,538329,554984,573419,654606,697783,694657,702763,774259,827289,821664,730485,713550,703879,604997,582692,590662,615658,576226,570230,679409,775134,812257,931637,932183,969545,946114,992786,992976,1043525,1057211,1112500,940000,1012449,1023998,989642,870481,1051614,1184750,1231986,1206320
5,E09000001,City of London,E01032740,City of London 001G,114167,116760,135871,125147,123494,128312,145939,145110,151581,159290,169827,167924,173581,178254,182106,180661,182627,185604,185311,181138,187265,196704,203213,197604,201044,211884,222718,224303,237356,254092,268169,270754,275145,277559,282285,280889,280124,274329,277374,280870,291174,293116,311475,325384,342678,344527,357239,360165,365341,353005,356558,351331,344271,328952,333471,326365,330266,342333,364003,381237,380691,397182,407573,420530,410013,444337,450283,488005,485936,529386,541517,589869,578621,679889,704915,816001,879551,880856,839474,886863,870916,876471,817039,892489,897819,900351,893071,905848,924578,936710,983575,929589,982746,989946,1054000,981615,939275,949221,943826,890791,839309,868701,860027,822176,764937,821100,812756,796335
6,E09000002,Barking and Dagenham,E01000006,Barking and Dagenham 016A,68091,67248,63743,68325,51669,48416,47754,55329,48875,53619,63306,75656,74155,76463,82134,81993,69792,63552,69822,66159,64719,73932,96530,101231,102970,115341,134830,138470,141629,154212,166770,173579,174121,181665,183560,189631,189006,194044,196615,207185,211323,218497,225388,233312,236484,239656,240645,240159,240218,238361,232795,226683,228021,227619,227243,223964,225163,228177,232113,230755,232688,234211,239052,239118,240694,240813,242665,239176,241005,248220,251370,250798,250374,265157,267417,267651,252310,270501,270329,255502,280489,339002,351344,361653,366486,408132,402667,388421,374494,393916,342558,366682,377121,387380,294757,360071,397303,397515,301894,325368,414130,400000,271317,274121,391222,350968,213627,204968
7,E09000002,Barking and Dagenham,E01000007,Barking and Dagenham 015A,35349,35463,34198,33783,35783,37003,38635,43165,49522,55700,59658,60780,61507,62079,59684,57468,56774,57937,61535,66432,70804,76535,79688,81888,83683,87052,90306,95561,102242,112217,121339,133327,138573,137739,139081,143209,141600,139477,140585,145393,144985,146734,152536,160643,165079,165245,167089,169757,170781,165148,165179,161062,156859,143709,138965,133146,131494,123254,124201,124322,126902,126052,128654,129612,131418,134151,135438,136614,140753,145823,147846,147604,150164,153760,156085,158100,164916,173417,179153,182192,189779,197940,205556,209226,216163,226401,235576,237402,238307,237979,239743,234730,226581,232836,249248,253968,257500,270000,303569,297126,305606,307084,329776,330494,334619,322319,350414,350066
8,E09000002,Barking and Dagenham,E01000008,Barking and Dagenham 015B,37977,37802,38308,38028,37951,37774,38287,37777,38151,38096,38966,38885,40633,42242,45512,46837,49986,50919,56083,56308,59337,60827,70053,69749,73258,75889,89412,93862,98449,100535,111048,116441,115730,115419,122834,127162,128808,130686,133133,137247,138593,139505,140605,143270,146206,145128,146221,150168,153109,151344,152136,157182,158044,154842,150537,150969,153084,151318,146310,145125,147723,150893,143844,142115,143546,145933,142275,142060,139512,143123,143578,148771,145619,152468,155345,165144,157237,161539,164628,169056,162846,168002,176640,183015,187414,192333,201669,203665,205185,206895,210832,211176,214632,217401,223216,228573,235952,241929,249816,256186,251267,247238,244553,243269,230138,216816,203002,190163
9,E09000002,Barking and Dagenham,E01000009,Barking and Dagenham 016B,52643,54204,53821,52040,57874,60952,62175,62364,67285,69653,69584,69374,73671,77191,79241,81000,86058,89542,94266,97317,106307,111083,118301,118588,126365,127881,135237,136722,146382,154715,167627,167782,175107,183109,196200,189963,191781,198714,209581,198358,198414,198682,201998,174862,171564,170000,186630,164631,171707,184501,200831,168614,181081,197434,209748,194151,196732,212283,221295,217594,215881,226397,228724,219172,213737,208303,192096,184917,180374,164707,157914,166754,179663,175359,160836,180412,198953,194934,183610,219868,249663,260197,238704,233577,229131,210000,214181,207742,206224,202736,217141,199101,195072,199803,217053,202977,186607,213986,246641,222250,187898,248751,295905,257433,226332,311812,379647,360233
