,lsoa21cd,lsoa21nm,Area Sq Km,Mid-2011: Population,Mid-2012: Population,Mid-2013: Population,Mid-2014: Population,Mid-2015: Population,Mid-2016: Population,Mid-2017: Population,Mid-2018: Population,Mid-2019: Population,Mid-2020: Population,Mid-2021: Population,Mid-2022: Population
0,E01000001,City of London 001A,0.1298,1472,1498,1624,1592,1642,1613,1554,1589,1677,1563,1573,1795
1,E01000002,City of London 001B,0.2283,1438,1473,1494,1509,1279,1289,1384,1380,1423,1309,1407,1671
2,E01000003,City of London 001C,0.0589,1348,1486,1488,1481,1689,1723,1781,1786,1841,1722,1610,1896
3,E01000005,City of London 001E,0.1896,987,915,946,1053,1064,1148,1288,1349,1426,1360,1104,1737
4,E01000006,Barking and Dagenham 016A,0.1466,1731,1779,1806,1924,1929,1882,1852,1844,1844,1834,1829,1837
5,E01000007,Barking and Dagenham 015A,0.2,1417,1501,1503,1581,2158,2382,2535,2565,2589,2779,2841,2961
6,E01000008,Barking and Dagenham 015B,0.1936,1569,1633,1632,1669,1650,1709,1740,1758,1740,1743,1747,1761
7,E01000009,Barking and Dagenham 016B,0.1279,1798,1819,1721,1766,1737,1823,1816,1848,1838,1837,1795,1859
8,E01000011,Barking and Dagenham 016C,0.0917,1655,1686,1592,1643,1647,1627,1658,1700,1676,1692,1666,1719
9,E01000012,Barking and Dagenham 015D,0.1404,1943,2019,1988,2007,2017,2178,2209,2314,2314,2320,2333,2336
10,E01000013,Barking and Dagenham 013A,0.2078,1668,1715,1677,1803,1763,1740,1854,1889,1885,1864,1837,1869
11,E01000014,Barking and Dagenham 013B,0.3412,1667,1671,1636,1698,1713,1716,1752,1738,1748,1797,1762,1780
12,E01000015,Barking and Dagenham 009A,0.2806,2271,2351,2419,2442,2393,2435,2442,2406,2486,2426,2404,2357
13,E01000016,Barking and Dagenham 009B,0.1988,1646,1655,1691,1750,1778,1771,1742,1776,1782,1794,1819,1846
14,E01000017,Barking and Dagenham 009C,0.1584,1602,1652,1477,1613,1608,1641,1694,1739,1725,1702,1729,1724
15,E01000018,Barking and Dagenham 009D,0.1739,1608,1671,1724,1802,1828,1770,1796,1793,1780,1774,1759,1757
16,E01000019,Barking and Dagenham 023A,0.1832,1410,1447,1489,1569,1546,1591,1612,1634,1662,1636,1643,1646
17,E01000020,Barking and Dagenham 023B,0.1872,1843,1892,2026,2043,2060,2056,2113,2113,2147,2128,2183,2203
18,E01000021,Barking and Dagenham 008A,0.1701,1588,1588,1590,1620,1617,1638,1605,1616,1632,1586,1671,1696
19,E01000022,Barking and Dagenham 008B,0.1283,1315,1358,1390,1384,1401,1408,1463,1486,1476,1488,1449,1445
20,E01000024,Barking and Dagenham 008D,0.1286,1342,1336,1477,1476,1537,1536,1506,1513,1533,1516,1502,1506
21,E01000025,Barking and Dagenham 008E,0.1534,1609,1615,1645,1721,1743,1753,1803,1841,1890,1889,1942,1913
22,E01000027,Barking and Dagenham 001A,1.4745,1710,1763,1860,1902,1962,1992,2019,2045,2053,2045,2062,2093
23,E01000028,Barking and Dagenham 001B,0.1438,1553,1574,1575,1622,1706,1826,1858,1846,1879,1855,1852,1810
24,E01000029,Barking and Dagenham 001C,0.2569,1591,1592,1753,1766,1776,1796,1803,1806,1839,1869,1864,1938
25,E01000030,Barking and Dagenham 001D,0.2864,1929,1989,2106,2233,2255,2389,2484,2538,2575,2590,2588,2545
26,E01000031,Barking and Dagenham 002A,0.8434,1617,1638,1684,1704,1746,1754,1804,1833,1869,1824,1797,1820
27,E01000032,Barking and Dagenham 002B,0.3755,1641,1650,1673,1708,1791,1816,1802,1870,1948,2030,2043,2073
28,E01000033,Barking and Dagenham 006A,0.1453,1366,1425,1447,1503,1527,1580,1591,1594,1600,1569,1548,1522
29,E01000034,Barking and Dagenham 003A,0.5136,1436,1507,1527,1521,1512,1575,1609,1623,1664,1649,1606,1644
30,E01000035,Barking and Dagenham 010A,0.3971,1613,1637,1672,1740,1777,1797,1764,1770,1801,1785,1850,1862
31,E01000036,Barking and Dagenham 010B,0.4187,1354,1414,1392,1447,1464,1438,1445,1433,1409,1430,1434,1436
32,E01000037,Barking and Dagenham 003B,0.2334,1703,1731,1839,1855,1878,1844,1795,1814,1806,1743,1738,1733
33,E01000038,Barking and Dagenham 003C,0.2141,1443,1451,1405,1448,1517,1531,1555,1552,1575,1575,1632,1653
34,E01000039,Barking and Dagenham 003D,1.5318,1603,1630,1660,1656,1689,1667,1700,1678,1765,1771,1791,1843
35,E01000040,Barking and Dagenham 019A,0.1707,1579,1600,1650,1639,1745,1774,1782,1834,1852,1852,1887,1842
36,E01000041,Barking and Dagenham 017A,0.1526,1687,1665,1704,1732,1785,1809,1837,1847,1877,1860,1797,1797
37,E01000042,Barking and Dagenham 017B,0.2312,1803,1808,1900,1912,1963,2020,1989,1979,1928,1937,1863,1899
38,E01000043,Barking and Dagenham 019B,0.2664,1370,1345,1421,1452,1524,1577,1558,1550,1542,1547,1562,1568
39,E01000044,Barking and Dagenham 016D,0.1706,1812,1805,1914,1890,1877,1898,1953,1999,1966,2001,1964,1973
40,E01000045,Barking and Dagenham 017C,0.2983,1659,1645,1669,1634,1686,1708,1711,1746,1744,1721,1729,1688
41,E01000046,Barking and Dagenham 017D,0.1555,1785,1795,1853,1888,1978,1954,1970,1972,1919,1947,1929,1923
42,E01000049,Barking and Dagenham 021C,0.2123,1832,1904,1927,1973,2009,2032,2029,2052,2082,1978,1939,1707
43,E01000050,Barking and Dagenham 019C,0.1377,1678,1726,1838,1898,1906,1919,1880,1877,1908,1887,1841,1861
44,E01000051,Barking and Dagenham 021D,0.0666,1945,1873,1658,1323,1156,1115,1010,850,999,1046,1091,1104
45,E01000052,Barking and Dagenham 019D,0.1997,2039,2142,2158,2206,2193,2279,2299,2306,2369,2412,2367,2444
46,E01000053,Barking and Dagenham 020A,0.1809,1493,1590,1644,1662,1711,1729,1684,1699,1674,1690,1650,1659
47,E01000054,Barking and Dagenham 018A,0.1712,1731,1702,1764,1793,1829,1836,1901,1904,1946,1929,1871,1830
48,E01000055,Barking and Dagenham 018B,0.146,1564,1601,1633,1681,1698,1711,1710,1714,1713,1711,1682,1595
49,E01000056,Barking and Dagenham 018C,0.2436,1594,1626,1649,1669,1703,1745,1729,1733,1742,1728,1677,1658
50,E01000057,Barking and Dagenham 012A,0.1477,1505,1504,1555,1547,1584,1604,1578,1571,1568,1597,1572,1610
51,E01000058,Barking and Dagenham 018D,0.1822,1864,1907,1988,2064,2103,2137,2103,2130,2154,2196,2156,2164
52,E01000059,Barking and Dagenham 013C,0.2085,1581,1568,1610,1607,1663,1698,1718,1741,1703,1698,1719,1702
53,E01000060,Barking and Dagenham 006B,0.5499,1814,1847,1925,1989,2031,2108,2139,2206,2146,2123,2169,2180
54,E01000061,Barking and Dagenham 006C,0.6105,1792,1798,1819,1773,1761,1729,1813,1690,1658,1632,1930,1960
55,E01000062,Barking and Dagenham 006D,0.2213,1954,1984,2107,2165,2157,2194,2208,2214,2226,2250,2226,2208
56,E01000063,Barking and Dagenham 004A,0.1812,1629,1635,1756,1778,1781,1800,1828,1792,1809,1782,1785,1739
57,E01000064,Barking and Dagenham 006E,0.2088,1897,2021,2132,2187,2178,2269,2300,2306,2339,2348,2310,2291
58,E01000065,Barking and Dagenham 007A,0.2336,1734,1747,1666,1754,1787,1801,1860,1875,1960,1969,1990,1967
59,E01000066,Barking and Dagenham 011A,0.2449,1941,1975,2081,2193,2254,2365,2447,2452,2518,2492,2482,2582
60,E01000067,Barking and Dagenham 011B,0.1925,1985,2055,2111,2161,2155,2144,2199,2211,2241,2319,2267,2237
61,E01000068,Barking and Dagenham 016E,0.3397,1605,1615,1511,1613,1610,1639,1657,1682,1717,1761,1785,1760
62,E01000069,Barking and Dagenham 011C,0.2005,1777,1807,1893,1939,1985,1998,2081,2136,2129,2114,2141,2169
63,E01000070,Barking and Dagenham 011D,0.3918,1987,1949,2070,2069,2106,2117,2051,2030,2071,2078,2073,2066
64,E01000071,Barking and Dagenham 011E,0.2706,2272,2308,2375,2420,2505,2572,2579,2623,2560,2560,2595,2618
65,E01000072,Barking and Dagenham 017E,0.5202,2006,2095,2100,2138,2139,2134,2131,2186,2157,2172,2142,2139
66,E01000073,Barking and Dagenham 012B,0.2846,1618,1662,1748,1778,1826,1825,1849,1850,1866,1819,1853,1863
67,E01000074,Barking and Dagenham 012C,0.1642,1577,1592,1588,1647,1671,1641,1637,1713,1738,1758,1760,1749
68,E01000075,Barking and Dagenham 012D,0.5174,1738,1786,1789,1803,1873,1932,1975,2017,2082,2113,2095,2056
69,E01000076,Barking and Dagenham 012E,0.1907,1994,1999,2038,2062,2074,2098,2109,2121,2138,2175,2175,2168
70,E01000077,Barking and Dagenham 008F,0.1738,1452,1551,1529,1574,1556,1567,1639,1674,1710,1738,1713,1757
71,E01000078,Barking and Dagenham 007B,0.1758,1681,1670,1754,1840,1862,1851,1871,1951,1952,1968,1932,1938
72,E01000079,Barking and Dagenham 009E,0.3096,1553,1576,1600,1655,1650,1666,1714,1751,1753,1745,1722,1767
73,E01000080,Barking and Dagenham 007C,0.2313,1565,1622,1644,1680,1716,1693,1732,1751,1727,1732,1755,1756
74,E01000081,Barking and Dagenham 007D,0.1858,1698,1713,1774,1804,1858,1883,1879,1882,1906,1932,1965,1981
75,E01000082,Barking and Dagenham 007E,0.1607,1686,1703,1889,1871,1907,1955,1967,1988,1993,1976,1902,1846
76,E01000083,Barking and Dagenham 007F,0.1799,1703,1739,1904,1889,1905,1949,1895,1931,1962,1970,1930,1977
77,E01000084,Barking and Dagenham 013D,0.15,1358,1389,1381,1375,1373,1436,1444,1413,1453,1438,1411,1418
78,E01000085,Barking and Dagenham 013E,0.1453,1720,1719,1722,1738,1734,1777,1789,1759,1687,1636,1638,1607
79,E01000086,Barking and Dagenham 013F,0.1401,1439,1417,1396,1427,1403,1441,1465,1464,1507,1495,1468,1444
80,E01000087,Barking and Dagenham 020B,0.3726,1348,1382,1387,1459,1467,1537,1611,1622,1646,1652,1635,1650
81,E01000088,Barking and Dagenham 020C,0.2264,1840,1899,1986,2094,2057,2058,2100,2068,2082,2091,2011,2023
82,E01000089,Barking and Dagenham 020D,0.1455,1676,1783,1794,1845,1873,1854,1836,1853,1868,1844,1792,1819
83,E01000090,Barking and Dagenham 020E,1.9528,1594,1598,1673,1692,1668,1682,1724,1715,1697,1693,1676,1675
84,E01000091,Barking and Dagenham 022A,0.2462,1722,1796,1871,2051,2110,2106,2087,2127,2153,2120,2088,2102
85,E01000093,Barking and Dagenham 022B,0.2938,1564,1639,1675,1708,1725,1740,1739,1804,1794,1769,1787,1801
