,Unnamed: 0,lsoa21cd,lsoa21nm,Area Sq Km,Mid-1996: Population,Mid-1997: Population,Mid-1998: Population,Mid-1999: Population,Mid-2000: Population,Mid-2001: Population,Mid-2002: Population,Mid-2003: Population,Mid-2004: Population,Mid-2005: Population,Mid-2006: Population,Mid-2007: Population,Mid-2008: Population,Mid-2009: Population,Mid-2010: Population,Mid-2011: Population,Mid-2012: Population,Mid-2013: Population,Mid-2014: Population,Mid-2015: Population,Mid-2016: Population,Mid-2017: Population,Mid-2018: Population,Mid-2019: Population,Mid-2020: Population,Mid-2021: Population,Mid-2022: Population
0,0,E01000001,City of London 001A,0.1298,1472.0,1472.0,1472.0,1472.0,1472.0,1472.0,1472.0,1472.0,1472.0,1472.0,1472.0,1472.0,1472.0,1472.0,1472.0,1472.0,1498.0,1624.0,1592.0,1642.0,1613.0,1554.0,1589.0,1677.0,1563.0,1573.0,1795.0
1,1,E01000002,City of London 001B,0.2283,1438.0,1438.0,1438.0,1438.0,1438.0,1438.0,1438.0,1438.0,1438.0,1438.0,1438.0,1438.0,1438.0,1438.0,1438.0,1438.0,1473.0,1494.0,1509.0,1279.0,1289.0,1384.0,1380.0,1423.0,1309.0,1407.0,1671.0
2,2,E01000003,City of London 001C,0.0589,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1486.0,1488.0,1481.0,1689.0,1723.0,1781.0,1786.0,1841.0,1722.0,1610.0,1896.0
3,3,E01000005,City of London 001E,0.1896,987.0,987.0,987.0,987.0,987.0,987.0,987.0,987.0,987.0,987.0,987.0,987.0,987.0,987.0,987.0,987.0,915.0,946.0,1053.0,1064.0,1148.0,1288.0,1349.0,1426.0,1360.0,1104.0,1737.0
4,4,E01000006,Barking and Dagenham 016A,0.1466,1731.0,1731.0,1731.0,1731.0,1731.0,1731.0,1731.0,1731.0,1731.0,1731.0,1731.0,1731.0,1731.0,1731.0,1731.0,1731.0,1779.0,1806.0,1924.0,1929.0,1882.0,1852.0,1844.0,1844.0,1834.0,1829.0,1837.0
5,5,E01000007,Barking and Dagenham 015A,0.2,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1417.0,1501.0,1503.0,1581.0,2158.0,2382.0,2535.0,2565.0,2589.0,2779.0,2841.0,2961.0
6,6,E01000008,Barking and Dagenham 015B,0.1936,1569.0,1569.0,1569.0,1569.0,1569.0,1569.0,1569.0,1569.0,1569.0,1569.0,1569.0,1569.0,1569.0,1569.0,1569.0,1569.0,1633.0,1632.0,1669.0,1650.0,1709.0,1740.0,1758.0,1740.0,1743.0,1747.0,1761.0
7,7,E01000009,Barking and Dagenham 016B,0.1279,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1819.0,1721.0,1766.0,1737.0,1823.0,1816.0,1848.0,1838.0,1837.0,1795.0,1859.0
8,8,E01000011,Barking and Dagenham 016C,0.0917,1655.0,1655.0,1655.0,1655.0,1655.0,1655.0,1655.0,1655.0,1655.0,1655.0,1655.0,1655.0,1655.0,1655.0,1655.0,1655.0,1686.0,1592.0,1643.0,1647.0,1627.0,1658.0,1700.0,1676.0,1692.0,1666.0,1719.0
9,9,E01000012,Barking and Dagenham 015D,0.1404,1943.0,1943.0,1943.0,1943.0,1943.0,1943.0,1943.0,1943.0,1943.0,1943.0,1943.0,1943.0,1943.0,1943.0,1943.0,1943.0,2019.0,1988.0,2007.0,2017.0,2178.0,2209.0,2314.0,2314.0,2320.0,2333.0,2336.0
