,id,name,zone,line_name,opened,nightopened,closed,geometry
126,940GZZLUGBY,Gunnersbury,3,London Overground,2007.0,,,POINT (-0.275379788854744 51.49161429675562)
146,940GZZLUHAW,Harrow & Wealdstone,5,London Overground,2007.0,,,POINT (-0.335398788831483 51.59232129681883)
176,940GZZLUHSN,Harlesden,3,London Overground,2007.0,,,POINT (-0.257953688827499 51.53636999678273)
187,940GZZLUKEN,Kenton,4,London Overground,2007.0,,,POINT (-0.31661998882919 51.581530496811766)
191,940GZZLUKOY,Kensington (Olympia),2,London Overground,2007.0,,,POINT (-0.20959268869726 51.497533785323746)
196,940GZZLUKSL,Kensal Green,2,London Overground,2007.0,,,POINT (-0.224595888817518 51.53057299677848)
204,940GZZLUKWG,Kew Gardens,3/4,London Overground,2007.0,,,POINT (-0.285013088865105 51.47707729674689)
259,940GZZLUNWY,North Wembley,4,London Overground,2007.0,,,POINT (-0.303874788833062 51.56240589679972)
286,940GZZLUQPS,Queen's Park,2,London Overground,2007.0,,,POINT (-0.205505588808722 51.53399279678017)
292,940GZZLURMD,Richmond,4,London Overground,2007.0,,,POINT (-0.30118438887759 51.46333129673877)
306,910GSHPDSB,Shepherd's Bush (Rail),2,London Overground,2007.0,,,POINT (-0.2175 51.50513)
317,940GZZLUSGP,Stonebridge Park,3,London Overground,2007.0,,,POINT (-0.2757003888308 51.54388119678773)
327,940GZZLUSKT,South Kenton,4,London Overground,2007.0,,,POINT (-0.3083997888312 51.57025409680464)
368,910GUPMNSTR,Upminster (Rail),6,London Overground,2015.0,,,POINT (0.253 51.5595)
382,940GZZLUWBN,West Brompton,2,London Overground,2007.0,,,POINT (-0.195487737439094 51.48702994650718)
398,940GZZLUWJN,Willesden Junction,2/3,London Overground,2007.0,,,POINT (-0.243179588823788 51.5322486967799)
428,940GZZLUWYC,Wembley Central,4,London Overground,2007.0,,,POINT (-0.295882588835057 51.551395096792774)
528,910GACTNCTL,Acton Central,3,London Overground,2007.0,,,POINT (-0.262832588842098 51.50870909676585)
530,910GANERLEY,Anerley,4,London Overground,2010.0,,,POINT (-0.06579798881331 51.41226409670292)
534,910GBARKING,Barking (Rail),4,London Overground,2007.0,,,POINT (0.0809 51.5392)
536,910GBATRSPK,Battersea Park,2,London Overground,2012.0,,,POINT (-0.147444088812855 51.478039996744684)
538,910GBHILLPK,Bush Hill Park,5,London Overground,2015.0,,,POINT (-0.069034388707848 51.64120569684262)
539,910GBLCHSRD,Blackhorse Road (Rail),3,London Overground,2007.0,,,POINT (-0.041339070661268 51.58663564266132)
544,910GBRBY,Brondesbury,2,London Overground,2007.0,,,POINT (-0.202323488802381 51.545122796786934)
545,910GBRBYPK,Brondesbury Park,2,London Overground,2007.0,,,POINT (-0.21014798880738 51.54069629678439)
550,910GBROCKLY,Brockley,2,London Overground,2010.0,,,POINT (-0.037468788778374 51.464638196733944)
556,910GBRUCGRV,Bruce Grove,3,London Overground,2015.0,,,POINT (-0.070081088730269 51.59371069681349)
557,910GBTHNLGR,Bethnal Green,2,London Overground,2015.0,,,POINT (-0.059428988758786 51.52391029677053)
