id,name,zone,line_name,opened,nightopened,closed,geometry
940GZZLUACT,Acton Town,3,District,,,,POINT (-0.279916688851386 51.50264359676248)
940GZZLUACT,Acton Town,3,Piccadilly,,2016.0,,POINT (-0.279916688851386 51.50264359676248)
940GZZLUACY,Archway,2/3,Northern,,2016.0,,POINT (-0.134745288767581 51.565370996797775)
940GZZLUADE,Aldgate East,1,District,,,,POINT (-0.071876588767481 51.51514719676551)
940GZZLUADE,Aldgate East,1,Hammersmith & City,,,,POINT (-0.071876588767481 51.51514719676551)
940GZZLUAGL,Angel,1,Northern,,,,POINT (-0.10612998877245 51.53182149677656)
940GZZLUAGL,Angel,1,Crossrail 2,2030.0,,,POINT (-0.10612998877245 51.53182149677656)
940GZZLUALD,Aldgate,1,Circle,,,,POINT (-0.075715588769394 51.51409639676498)
940GZZLUALD,Aldgate,1,Metropolitan,,,,POINT (-0.075715588769394 51.51409639676498)
940GZZLUALP,Alperton,4,Piccadilly,,,,POINT (-0.2994547888414 51.54055479678616)
940GZZLUAMS,Amersham,9,Metropolitan,,,,POINT (-0.608468688901916 51.674206696875174)
940GZZLUASG,Arnos Grove,4,Piccadilly,,2016.0,,POINT (-0.133268788743383 51.61647559682913)
940GZZLUASL,Arsenal,2,Piccadilly,,2016.0,,POINT (-0.108099325493406 51.55782418669154)
940GZZLUBBB,Bromley-by-Bow,2/3,District,,,,POINT (-0.011585088740745 51.52473659676975)
940GZZLUBBB,Bromley-by-Bow,2/3,Hammersmith & City,,,,POINT (-0.011585088740745 51.52473659676975)
940GZZLUBBN,Barbican,1,Hammersmith & City,,,,POINT (-0.097792388774743 51.520214996769255)
940GZZLUBBN,Barbican,1,Circle,,,,POINT (-0.097792388774743 51.520214996769255)
940GZZLUBBN,Barbican,1,Metropolitan,,,,POINT (-0.097792388774743 51.520214996769255)
940GZZLUBDS,Bounds Green,3/4,Piccadilly,,2016.0,,POINT (-0.124134488744299 51.60706579682311)
940GZZLUBEC,Becontree,5,District,,,,POINT (0.127268911317215 51.540323496774896)
940GZZLUBKE,Barkingside,4,Central,,2016.0,,POINT (0.088580011324457 51.58564969680374)
940GZZLUBKF,Blackfriars,1,District,,,,POINT (-0.103139988780659 51.51177409676423)
940GZZLUBKF,Blackfriars,1,Circle,,,,POINT (-0.103139988780659 51.51177409676423)
940GZZLUBKF,Blackfriars,1,National Rail,,,,POINT (-0.103139988780659 51.51177409676423)
940GZZLUBKG,Barking,4,District,,,,POINT (0.0812 51.5395)
940GZZLUBKG,Barking,4,Hammersmith & City,,,,POINT (0.0812 51.5395)
940GZZLUBKH,Buckhurst Hill,5,Central,,2016.0,,POINT (0.046796811328004 51.62594579682972)
940GZZLUBLG,Bethnal Green,2,Central,,2016.0,,POINT (-0.055488488755668 51.52747319677261)
940GZZLUBLM,Balham,3,Northern,,2016.0,,POINT (-0.152987888831141 51.44316439672359)
940GZZLUBLR,Blackhorse Road,3,Victoria,,2016.0,,POINT (-0.0407 51.587)
940GZZLUBMY,Bermondsey,2,Jubilee,,2016.0,,POINT (-0.063738188772592 51.49772969675471)
940GZZLUBND,Bond Street,1,Central,,2016.0,,POINT (-0.148986088796581 51.514325396766864)
940GZZLUBND,Bond Street,1,Jubilee,,2016.0,,POINT (-0.148986088796581 51.514325396766864)
940GZZLUBNK,Bank,1,Central,,2016.0,,POINT (-0.088989625035467 51.51344958357864)
940GZZLUBNK,Bank,1,Northern,,,,POINT (-0.088989625035467 51.51344958357864)
940GZZLUBNK,Bank,1,Waterloo & City,,,,POINT (-0.088989625035467 51.51344958357864)
940GZZLUBOR,Borough,1,Northern,,,,POINT (-0.093409988782017 51.50109359675747)
940GZZLUBOS,Boston Manor,4,Piccadilly,,2016.0,,POINT (-0.324733388871653 51.49574829675908)
